Question,Answer,Category,Disease_Name
গোড় খোদাই পোকা আছে,গোড় খোদাই পোকা: ১) গাছের গোড়ায় ছিদ্র করে ২) গোড়ার চারপাশে ফোরেট ৩% ছিটান ৩) গোড়া মাটি দিয়ে বন্ধ করুন ৪) আক্রান্ত গাছ তুলে মারুন।,Pest,গোড় খোদাই
কান্ড ছিদ্রকারী পোকা দেখছি,কান্ড ছিদ্রকারী: ১) গাছের কান্ড ছিদ্র করে ফেলে ২) কার্বোসালফান ২৫% ইসি ২ মিলি/লিটার ৩) গোড়া এবং কান্ডে স্প্রে করুন ৪) কীটনাশক যুক্ত মাটিতে গোড়া গেড়ুন।,Pest,কান্ড ছিদ্রকারী
সাদা মাছি কীভাবে দূর করব,সাদা মাছি দূর করা: ১) হলুদ ফাঁদ ব্যবহার করুন ২) ইমিডাক্লোপ্রিড ০.৫ মিলি/লিটার ৩) সাপ্তাহিক স্প্রে করুন ৪) স্প্রে সকাল ৮টার আগে করুন।,Pest,সাদা মাছি
বর্ষায় ধানের যত্ন কীভাবে,বর্ষায় ধানের যত্ন: ১) জমিতে অতিরিক্ত পানি নিকাশ করুন ২) পোকা ও রোগ বেশি হয় এই সময় ৩) নিয়মিত পর্যবেক্ষণ করুন ৪) প্রয়োজনে কীটনাশক স্প্রে করুন।,Weather,বর্ষা কালীন
গ্রীষ্মে ফসল রক্ষা করতে হবে কীভাবে,গ্রীষ্মে ফসল রক্ষা: ১) নিয়মিত সেচ দিন ২) ছাদি বা মাল্চিং করুন ৩) গাছে বেশি পানি প্রয়োজন ৪) সকাল-বিকালে সেচ দিন।,Weather,গ্রীষ্মকালীন
শীতে কোন ফসল ভাল হয়,"শীতে ভাল ফসল: ১) গম, আলু, সরিষা, সবজি ভাল হয় ২) তাপমাত্রা মোটামুটি কম থাকে ৩) পোকা-রোগও কম হয় ৪) ফলন বেশি পাওয়া যায়।",Weather,শীতকালীন
বন্যার সময় কি গাছ রক্ষা করা যায়,বন্যা সময় ফসল: ১) তিন সপ্তাহের বেশি ডুবে থাকা ফসল মরে যায় ২) বন্যার পর জমি প্রস্তুত করতে হবে ৩) নাইট্রোজেন সার দিতে হবে ৪) পুনরায় বোনার চিন্তা করুন।,Weather,বন্যা
শিলা বৃষ্টি হলে ফসল রক্ষা কীভাবে,শিলা বৃষ্টি সুরক্ষা: ১) শিলাবৃষ্টি প্রতিরোধ করা যায় না ২) তবে বীমা করান ৩) ক্ষতিগ্রস্ত ফসল দ্রুত কাটুন ৪) পুনরায় চাষাবাদের পরিকল্পনা করুন।,Weather,শিলা বৃষ্টি
খরার সময় কী করব,খরায় করণীয়: ১) গভীর নলকূপ খুঁড়ুন ২) মাল্চিং করুন ৩) জৈব সার দিয়ে মাটি উন্নত করুন ৪) খরা সহিষ্ণু ফসল লাগান।,Weather,খরা
ঝড়বৃষ্টি এর আগে কি করব,ঝড় আগে করণীয়: ১) গাছে সাপোর্ট দিন ২) সম্ভব হলে নেট লাগান ৩) পুরনো শাখা কেটে দিন ৪) স্টেকিং করুন গুরুত্বপূর্ণ গাছে।,Weather,ঝড়
তাপমাত্রা বেশি হলে ফসলের ক্ষতি,উচ্চ তাপমাত্রার ক্ষতি: ১) উৎপাদন কমে যায় ২) রঙ নষ্ট হয় সবজিতে ৩) ফুল ঝরে যায় ৪) নিয়মিত সেচ বৃদ্ধি করুন।,Weather,উচ্চ তাপমাত্রা
রাত শিশির পড়লে রোগ হয়,শিশির ও রোগ: ১) শিশির পড়লে ছত্রাক রোগ হয় বেশি ২) সকাল বেলা পথ তৈরি করুন ৩) ফাংগিসাইড স্প্রে করুন প্রতিরোধে ৪) বায়ু চলাচল ভাল রাখুন।,Weather,শিশির
আবহাওয়া পূর্বাভাস কীভাবে জানব,আবহাওয়া পূর্বাভাস: ১) আবহাওয়া অধিদপ্তরের ওয়েবসাইট দেখুন ২) মোবাইল অ্যাপ ব্যবহার করুন ৩) স্থানীয় কৃষি অফিসে পরামর্শ নিন ৪) সংবাদ মাধ্যমে খোঁজ নিন।,Weather,আবহাওয়া পূর্বাভাস
আলুর লেট ব্লাইট রোগের কারণ কী?,ফাইটোফথোরা ইনফেস্ট্যান্স নামক ছত্রাকের আক্রমণে এই রোগ হয়,Potato Disease,Late Blight
আলুর লেট ব্লাইটের প্রাথমিক অবস্থায় পাতায় কী দেখা যায়?,পাতার আগা এবং কিনারায় ছোট ছোট জলাভিজা দাগের আবির্ভাব হয়,Potato Disease,Late Blight
আলুর লেট ব্লাইট রোগ কোন আবহাওয়ায় বেশি হয়?,ঠান্ডা এবং আর্দ্র আবহাওয়ায়,Potato Disease,Late Blight
আলুর লেট ব্লাইট রোগ দমনের জন্য কী করতে হয়?,ডায়াথেন Gg-45 ছত্রাকনাশক 15 দিন পর পর প্রয়োগ করতে হয়,Potato Disease,Late Blight
আলুর পাতা কুঁকড়ানো রোগে পাতার অ্যাবডাকক্ষ কী লক্ষণ দেয়?,অ্যাবডাকক্ষ লম্বভাবে উপরের দিকে কুঁকিয়ে আসে,Potato Disease,Leaf Roll
আলুর পাতা কুঁকড়ানো রোগে কোন রোগজনক দায়ী?,ভাইরাস,Potato Disease,Leaf Roll
আলুর কালো অন্তর্মজ্জা রোগে রোগের কারণ কী?,অতিরিক্ত তাপমাত্রা এবং অক্সিজেন স্বল্পতার জন্য,Potato Disease,Black Heart
আলুর শুষ্ক পচা রোগের লক্ষণ কী?,আক্রান্ত অংশের ত্বক একটু ধসে যায় এবং কঠিন রঙ ধারণ করে,Potato Disease,Dry Rot
আলুর শুষ্ক পচা রোগের রোগজনক কী?,ফিউজেরিয়াম কেরুলিয়াম,Potato Disease,Dry Rot
টমেটোর লেট ব্লাইট রোগে পাতায় কী ধরনের দাগ দেখা যায়?,বয়স্ক পাতার উপর গাঢ় বাদামি জলাভিজা অনিয়মিত দাগ,Tomato Disease,Late Blight
টমেটোর লেট ব্লাইট রোগের শুরু কোন পর্যায়ে দেখা যায়?,বয়স্ক পাতার উপর গাঢ় বাদামি জলাভিজা দাগ,Tomato Disease,Late Blight
টমেটোর ফিউজেরিয়াম ঝড়ে পড়া রোগের প্রধান লক্ষণ কী?,গাছের একদিকের পাতা প্রথমে হলুদ হয়ে আসে,Tomato Disease,Fusarium Wilt
টমেটোর ভার্টিসিলিয়াম ঝড়ে পড়া রোগের বৈশিষ্ট্য কী?,গাছের উভয় পাশের পাতা একসাথে নেতিয়ে পড়ে,Tomato Disease,Verticillium Wilt
টমেটোর মোজাইক রোগের প্রধান উৎস কী?,রস সংক্রমণকারী পতঙ্গ,Tomato Disease,Mosaic
টমেটোর শিকড়ের গিঁট রোগের রোগজনক কী?,মেলয়েডোগাইন ইনকগনিটা,Tomato Disease,Root Knot
ভিন্ডির হলুদ মোজাইক রোগের লক্ষণ কী?,পাতায় ডোরা ডোরা হালকা ও গাঢ় সবুজ দাগ,Okra Disease,Yellow Mosaic
ভিন্ডির পাতা কুঁকড়ানো রোগের প্রধান লক্ষণ কী?,আক্রান্ত গাছের পাতা লম্বভাবে কুঁকিয়ে যায় এবং পরে বিদীর্ণ হয়,Okra Disease,Leaf Curl
ভিন্ডির অ্যান্থ্রাকনোজ রোগের রোগজনক কী?,কলেটোট্রিকাম ডেমেশিয়াম,Okra Disease,Anthracnose
ভিন্ডির অ্যালটারনেরিয়া ছত্রাক কী ধরনের দাগ তৈরি করে?,"গোলাকার, বাদামি এবং সমকেন্দ্রিক রেখাযুক্ত দাগ",Okra Disease,Leaf Spot
কুমড়ার পাউডারি মিলডিউ রোগের প্রাথমিক লক্ষণ কী?,কাঁচা পাতায় পটকা পটকা সাদা আবরণ দেখা যায়,Gourd Disease,Powdery Mildew
কুমড়ার পাউডারি মিলডিউ রোগের রোগজনক কী?,ইরাইজাইফ সিকোরেসিয়ারাম,Gourd Disease,Powdery Mildew
কুমড়ার ব্যাকটেরিয়া ঝড়ে পড়া রোগের রোগজনক কী?,এরউইনিয়া ট্রেকিফিলা,Gourd Disease,Bacterial Wilt
কুমড়ার ফিউজেরিয়াম ঝড়ে পড়া রোগের রোগজনক কী?,ফিউজেরিয়াম অক্সিস্পোরাম,Gourd Disease,Fusarium Wilt
কুমড়ার মোজাইক রোগের রোগজনক কী?,কিউকাম্বার মোজাইক ভাইরাস,Gourd Disease,Mosaic
কুমড়ার অ্যান্থ্রাকনোজ রোগের রোগজনক কী?,কলেটোট্রিকাম লেজিনেরিয়াম,Gourd Disease,Anthracnose
বিন/মটরের মোজাইক রোগের প্রধান উৎস কী?,বীজ এবং রস সংক্রমণকারী পতঙ্গ,Bean Disease,Mosaic
বিন/মটরের সার্কোস্পোরা রোগের দাগ কেমন?,"কালো রঙের, কিনারাযুক্ত সবুজ বা হালকা রঙের দাগ",Bean Disease,Leaf Spot
বিন/মটরের অ্যালটারনেরিয়া রোগের দাগ প্রাথমিকভাবে কেমন?,"ছোট, অনিয়মিত এবং গাঢ় রঙের দাগ",Bean Disease,Leaf Spot
বিন/মটরের অ্যান্থ্রাকনোজ রোগের রোগজনক কী?,কলেটোট্রিকাম লিন্ডেমাথিয়ানাম,Bean Disease,Anthracnose
সরিষার অ্যালটারনেরিয়া ব্লাইট রোগের দায়ী ছত্রাক কী?,অ্যালটারনেরিয়া ব্রাসিসিকোলা এবং অ্যালটারনেরিয়া ব্রাসিসিয়ে,Mustard Disease,Alternaria Blight
সরিষার অ্যালটারনেরিয়া ব্লাইট রোগের বৈশিষ্ট্য কী?,সমকেন্দ্রিক দাগ হওয়া অ্যালটারনেরিয়া ব্লাইটের একটি বৈশিষ্ট্যগত লক্ষণ,Mustard Disease,Alternaria Blight
সরিষার ডাউনি মিলডিউ রোগের রোগজনক কী?,পেরোনোস্পোরা পারাসিটিকা এবং পি. ব্রাসিসিয়ে,Mustard Disease,Downy Mildew
সরিষার ডাউনি মিলডিউ রোগে কী ধরনের লক্ষণ দেখা যায়?,পাতার উপর হালকা রঙের দাগ এবং নিচে সাদা রঙের ছত্রাক,Mustard Disease,Downy Mildew
চিনাবাদামের টিক্কা রোগের দুই ধরনের দাগ কী?,প্রাথমিক দাগ এবং চূড়ান্ত দাগ,Groundnut Disease,Tikka
চিনাবাদামের প্রাথমিক টিক্কা রোগে দাগ কেমন?,ছোট ছোট গোলাকার হালকা বাদামি রঙের দাগ,Groundnut Disease,Tikka
চিনাবাদামের চূড়ান্ত টিক্কা রোগের দাগ কীভাবে?,"গোলাকার এবং স্পষ্ট কিনারাযুক্ত, অনেক বেশি সংখ্যক",Groundnut Disease,Tikka
চিনাবাদামের মরচে রোগের লক্ষণ কী?,পাতার উভয় পৃষ্ঠে মরচে রঙের পুঁষ্টির মতো দাগ,Groundnut Disease,Rust
চিনাবাদামের কাণ্ড পচা রোগের রোগজনক কী?,স্ক্লেরোটিয়াম রলফসি,Groundnut Disease,Stem Rot
চিনাবাদামের কাণ্ড পচা রোগে মাটির কাছাকাছি গাছে কী হয়?,"প্রথমে সাদা ছত্রাক আবরণ, তারপর বাদামি রঙ ধারণ করে",Groundnut Disease,Stem Rot
তিলের ভিতু পচা রোগের রোগজনক কী?,ফাইটোফথোরা পারাসিটিকা ভার। সেসামি,Sesame Disease,Foot Rot
তিলের ভিতু পচা রোগে গাছ কীভাবে প্রভাবিত হয়?,গাছ মাটিতে হেলে পড়ে এবং মরে যায়,Sesame Disease,Foot Rot
তিলের পাতার দাগ রোগের রোগজনক কী?,সার্কোস্পোরা সেসামি,Sesame Disease,Leaf Spot
তিলের সার্কোস্পোরা রোগের দাগ কেমন?,পাতার উভয় পৃষ্ঠে অত্যন্ত ছোট জলাভিজা তারপর নাটকীয় দাগ,Sesame Disease,Leaf Spot
সূর্যমুখীর অ্যালটারনেরিয়া ব্লাইট রোগের রোগজনক কী?,অ্যালটারনেরিয়া হেলিয়ান্থি,Sunflower Disease,Alternaria Blight
সূর্যমুখীর অ্যালটারনেরিয়া ব্লাইটে দাগ কীভাবে দেখায়?,পাতায় গোলাকার এবং ডাম্বেল আকৃতির গাঢ় বাদামি রঙের দাগ,Sunflower Disease,Alternaria Blight
সোয়াবিনের বাদামি দাগ রোগের রোগজনক কী?,সেপ্টোরিয়া গ্লাইসিনেস,Soybean Disease,Brown Spot
সোয়াবিনের বাদামি দাগ রোগের লক্ষণ কী?,পাতার উভয় পৃষ্ঠে ত্রিভুজাকৃতির হালকা বাদামি দাগ,Soybean Disease,Brown Spot
সোয়াবিনের অ্যান্থ্রাকনোজ রোগের রোগজনক কী?,কলেটোট্রিকাম ডেমেশিয়াম ভার। ট্রানকাটা এবং গ্লোমারেলা গ্লাইসিনেস,Soybean Disease,Anthracnose
সোয়াবিনের অ্যান্থ্রাকনোজে কাণ্ড এবং ফলে কী দাগ হয়?,অনির্দিষ্ট আকৃতির গাঢ় বাদামি রঙের দাগ,Soybean Disease,Anthracnose
সোয়াবিনের মোজাইক রোগের রোগজনক কী?,সোয়াবিন মোজাইক ভাইরাস (SoyMV),Soybean Disease,Mosaic
সোয়াবিনের মোজাইক রোগে আক্রান্ত বীজের বাইরে কী দাগ হয়?,বীজের ত্বকে গাঢ় সাদা বা বাদামি রঙের দাগ,Soybean Disease,Mosaic
ডাল ফসলের ভিতু ও মূল পচা রোগের রোগজনক কী?,রাইজোক্টোনিয়া সোলানি,Pulse Disease,Foot and Root Rot
ডাল ফসলের ভিতু পচা রোগে পাইভায় কী লক্ষণ দেখা যায়?,মাটির কাছাকাছি স্থানে কাণ্ড বাদামি হয়ে পচে যায়,Pulse Disease,Foot and Root Rot
ডাল ফসলের ঝড়ে পড়া রোগের রোগজনক কী?,ফিউজেরিয়াম প্রজাতিগুলির ছত্রাক,Pulse Disease,Wilt
ডাল ফসলের ঝড়ে পড়া রোগের বৈশিষ্ট্য লক্ষণ কী?,পাতা এবং ডালপালা হঠাৎ করে ঝুলে পড়ে,Pulse Disease,Wilt
ধানের শীথ ব্লাইট রোগের কারণ কী?,Rhizoctonia solani নামক ছত্রাকের আক্রমণে,Rice Disease,Sheath Blight
ধানের শীথ ব্লাইট রোগের লক্ষণ কী?,পাতায় সবুজ-ধূসর দাগ এবং পরে বাদামি দাগ দেখা যায়,Rice Disease,Sheath Blight
ধানের স্টেম রট রোগের কারণ কী?,Sclerotium oryzae নামক ছত্রাক,Rice Disease,Stem Rot
ধানের স্টেম রট রোগের লক্ষণ কী?,কাণ্ডে কালচে দাগ এবং গাছ ভেঙে পড়ে,Rice Disease,Stem Rot
ধানের ব্যাকটেরিয়াল লিফ ব্লাইট রোগের কারণ কী?,Xanthomonas campestris pv. oryzae,Rice Disease,Bacterial Leaf Blight
ধানের ব্যাকটেরিয়াল লিফ ব্লাইটের লক্ষণ কী?,পাতায় জলভেজা দাগ যা পরে সাদা হয়ে শুকিয়ে যায়,Rice Disease,Bacterial Leaf Blight
ধানের ব্যাকটেরিয়াল লিফ স্ট্রিক রোগের কারণ কী?,Xanthomonas campestris pv. oryzicola,Rice Disease,Bacterial Leaf Streak
ধানের ব্যাকটেরিয়াল লিফ স্ট্রিক রোগের লক্ষণ কী?,পাতায় সরু রেখার মতো দাগ দেখা যায়,Rice Disease,Bacterial Leaf Streak
ধানের উফরা রোগের কারণ কী?,Ditylenchus angustus নামক কৃমি,Rice Disease,Ufra
ধানের উফরা রোগের লক্ষণ কী?,পাতায় সাদা দাগ এবং গাছ বিকৃত হয়,Rice Disease,Ufra
ধানের রুট নট রোগের কারণ কী?,Meloidogyne graminicola নামক কৃমি,Rice Disease,Root Knot
ধানের রুট নট রোগের লক্ষণ কী?,মূলের মধ্যে গিঁট তৈরি হয়,Rice Disease,Root Knot
ধানের টুংরো রোগের কারণ কী?,ভাইরাস দ্বারা সৃষ্ট,Rice Disease,Tungro
ধানের টুংরো রোগের লক্ষণ কী?,পাতা হলুদ হয়ে যায় এবং গাছ খাটো হয়,Rice Disease,Tungro
